City,Season,Trip_Days,Flight_Type,Distance_km,Hotel_Class,Daily_Hotel_Cost,Daily_Food_Cost,Transport_Mode,Daily_Transport_Cost,Activities_Count,Shopping_Cost,Total_Trip_Cost,Cost_Category
Kuala Lumpur,Monsoon,9,Premium Economy,10799.0,Standard,6676.26,987.49,Taxi,813.19,0,20691.94,88724.69,Mid-range
,,3,,10840.2,,,312.82,Private Car,483.51,3,,171285.5,Luxury
Kuala Lumpur,Off-Season,17,First,786.7,Standard,6411.52,1405.3,Rideshare,1499.87,4,14711.8,340068.22,Luxury
,,15,,4093.8,,,1836.92,Taxi,1098.3,7,,662494.37,Luxury
Dubai,Peak,8,Economy,1392.6,Luxury,4872.07,1882.01,Public,883.65,9,99.7,227227.2,Luxury
Kuala Lumpur,Monsoon,6,Premium Economy,4985.1,Luxury,6509.55,1095.33,Private Car,493.4,8,9447.3,110639.92,Luxury
Kuala Lumpur,Holiday,8,First,5931.8,Budget,4505.27,1168.07,Public,286.25,8,3791.76,165737.86,Luxury
,,13,,2855.8,,,1721.7,Public,755.57,8,,800000.0,Luxury
London,Holiday,9,Economy,10598.4,Luxury,2446.77,1396.44,Public,187.66,7,4387.3,337867.4,Luxury
Kuala Lumpur,Winter,14,Economy,6049.9,Luxury,3006.92,1505.15,Taxi,485.07,3,23674.08,185055.5,Luxury
Dubai,Off-Season,15,Economy,7353.6,Premium,1939.15,1174.25,Private Car,448.49,2,21327.87,146620.64,Luxury
Dubai,Monsoon,5,Business,1529.1,Luxury,6199.32,1753.94,Taxi,597.21,7,6853.57,233716.91,Luxury
Bangkok,Peak,4,First,5739.1,Standard,1798.49,454.13,Public,536.74,1,6571.79,99475.26,Luxury
London,Monsoon,20,First,9966.1,Standard,5433.92,1175.38,Taxi,891.49,3,24892.69,655973.05,Luxury
London,Off-Season,15,First,2071.3,Luxury,2469.95,301.68,Taxi,691.21,9,7918.61,563296.32,Luxury
Dubai,Winter,5,Business,11155.7,Standard,7868.98,1534.62,Public,131.39,4,6125.61,268551.74,Luxury
Dubai,Holiday,15,First,1233.3,Budget,4771.78,507.1,Public,1414.81,1,20068.01,468286.26,Luxury
Bangkok,Peak,10,First,3212.8,Premium,24356.61,939.32,Rideshare,1409.36,6,131797.74,371957.8,Luxury
London,Peak,18,First,9217.9,Luxury,2910.99,369.06,Rideshare,167.25,8,12436.75,800000.0,Luxury
Dubai,Holiday,9,Economy,976.5,Luxury,1211.69,1864.06,Taxi,1430.49,2,23263.02,219967.12,Luxury
Goa,Monsoon,19,First,2998.9,Premium,6405.23,1852.71,Public,1052.0,9,9590.83,554690.65,Luxury
Goa,Holiday,9,Business,9972.7,Luxury,3231.12,1333.07,Rideshare,1341.08,4,13673.65,343043.01,Luxury
London,Monsoon,13,Business,4048.5,Premium,4398.63,291.25,Private Car,1358.59,9,3.44,302860.82,Luxury
Goa,Peak,3,Premium Economy,10922.0,Premium,2378.96,1184.85,Public,686.95,6,16358.45,104057.3,Luxury
Kuala Lumpur,Winter,7,Business,5931.2,Luxury,4424.28,1708.45,Private Car,541.93,2,15049.56,226891.74,Luxury
Goa,Holiday,16,Economy,9621.8,Luxury,3887.27,725.45,Rideshare,794.43,4,24443.4,325714.49,Luxury
Bangkok,Winter,13,Premium Economy,11399.6,Standard,7537.53,1161.77,Private Car,1366.59,6,3312.87,211048.45,Luxury
London,Peak,13,Business,2271.9,Budget,5543.31,1450.15,Taxi,920.08,2,1985.41,366276.12,Luxury
London,Monsoon,15,Premium Economy,2804.5,Premium,3731.27,1501.35,Private Car,327.4,4,11559.29,236861.53,Luxury
Kuala Lumpur,Off-Season,12,Economy,3842.9,Premium,2820.06,1482.1,Rideshare,281.64,5,7072.31,77656.42,Mid-range
Bangkok,Winter,17,Economy,3649.6,Luxury,5355.46,437.67,Rideshare,489.88,1,19538.24,267142.36,Luxury
Goa,Peak,11,Economy,5517.5,Luxury,7645.86,863.32,Public,456.28,7,16852.11,327591.01,Luxury
Kuala Lumpur,Peak,6,Economy,4056.1,Premium,1383.74,1726.29,Taxi,953.9,9,24511.94,94328.5,Luxury
London,Peak,14,First,1809.4,Premium,3128.68,628.17,Public,962.71,9,19533.16,800000.0,Luxury
Dubai,Winter,5,First,2578.5,Premium,5135.0,1960.73,Rideshare,872.2,6,12675.42,364390.32,Luxury
Goa,Peak,4,Business,7832.8,Budget,7633.25,948.2,Private Car,1423.78,11,13448.15,171563.98,Luxury
Istanbul,Winter,17,Premium Economy,6249.9,Standard,5412.51,1041.58,Rideshare,608.39,2,21397.55,150369.24,Luxury
Kuala Lumpur,Holiday,19,First,5831.4,Premium,2757.04,1291.87,Taxi,534.17,2,2283.72,376430.69,Luxury
Goa,Winter,6,Economy,9811.6,Premium,4391.92,855.22,Taxi,83.0,7,20962.42,147093.63,Luxury
Bangkok,Monsoon,16,Economy,2042.2,Standard,7666.68,1473.74,Public,1330.39,7,18692.89,140414.76,Luxury
Dubai,Holiday,16,Economy,2833.4,Luxury,1710.21,710.19,Taxi,283.93,5,19442.94,242904.95,Luxury
Dubai,Peak,20,Business,42.7,Standard,1932.86,732.08,Taxi,680.56,11,19783.94,323864.49,Luxury
Dubai,Off-Season,10,Business,10859.2,Luxury,6601.91,1506.73,Private Car,994.67,5,11365.24,524623.39,Luxury
Istanbul,Off-Season,2,Economy,10513.8,Luxury,6261.02,970.0,Private Car,436.86,1,1872.75,55464.1,Mid-range
Istanbul,Winter,10,Economy,5436.3,Luxury,5754.41,1213.72,Taxi,288.43,3,22559.34,167002.43,Luxury
Istanbul,Peak,4,Business,3520.9,Standard,4612.05,1773.79,Private Car,641.89,0,9556.08,78464.7,Mid-range
Istanbul,Off-Season,1,Economy,659.7,Standard,1228.78,1340.85,Rideshare,1067.39,7,8969.68,11783.7,Budget
Dubai,Off-Season,8,Economy,1713.0,Budget,948.06,1526.82,Public,469.25,11,11438.36,46910.1,Mid-range
,,12,,8473.3,,,363.17,Taxi,585.61,6,,177255.37,Luxury
Goa,Holiday,2,Economy,3689.3,Premium,6281.8,1590.84,Private Car,796.82,11,14595.93,92849.22,Luxury
Dubai,Peak,20,Premium Economy,3456.5,Luxury,1152.76,896.43,Rideshare,1469.63,7,24542.01,453438.7,Luxury
Dubai,Monsoon,3,Business,1324.0,Premium,5261.93,254.44,Public,1381.16,8,19394.15,163165.77,Luxury
Bangkok,Peak,19,Economy,9614.3,Standard,2066.74,425.76,Rideshare,776.57,3,13513.41,127114.14,Luxury
Dubai,Winter,16,Economy,1756.9,Luxury,1858.66,1166.97,Public,417.83,4,24805.56,256859.39,Luxury
London,Winter,14,Economy,1667.4,Luxury,5551.93,621.14,Public,214.15,4,15863.06,423567.84,Luxury
Bangkok,Monsoon,1,Business,6611.9,Luxury,7464.27,1302.49,Private Car,699.48,4,13142.18,107902.95,Luxury
,,15,,3845.2,,,1101.6,Taxi,1315.9,2,,307785.29,Luxury
Goa,Holiday,2,First,1760.5,Premium,5728.31,489.46,Taxi,1172.56,0,1643.76,88525.42,Mid-range
Goa,Peak,7,Business,5699.2,Standard,1290.66,238.6,Rideshare,689.74,5,8059.91,99209.61,Luxury
London,Off-Season,7,Economy,3960.5,Luxury,7759.78,710.67,Private Car,59.25,9,16345.59,277493.08,Luxury
,,8,,10548.3,,,1352.75,Taxi,705.92,5,,118511.68,Luxury
Bangkok,Peak,11,Business,10883.0,Luxury,7306.49,643.09,Public,1162.33,3,11813.04,566365.68,Luxury
Dubai,Holiday,16,First,6699.2,Budget,3226.97,1257.44,Private Car,647.13,1,8599.77,353888.87,Luxury
Kuala Lumpur,Peak,20,First,555.2,Premium,5502.97,1118.25,Rideshare,969.49,4,3809.13,583704.43,Luxury
,,1,,5569.0,,,1254.85,Taxi,934.6,5,,83897.27,Mid-range
Dubai,Holiday,13,First,6113.8,Budget,1836.77,475.49,Rideshare,210.08,3,5803.03,167271.9,Luxury
Istanbul,Peak,20,Premium Economy,1004.6,Standard,4575.52,217.99,Taxi,1355.99,11,15957.55,178176.58,Luxury
London,Winter,13,Economy,1542.6,Standard,4300.19,1030.77,Taxi,1267.92,5,24299.68,254970.41,Luxury
Kuala Lumpur,Peak,10,First,10304.1,Premium,5464.52,1408.04,Rideshare,475.63,3,7605.85,363057.27,Luxury
Goa,Winter,6,Business,8234.7,Premium,5493.7,1524.43,Rideshare,499.31,5,23019.32,252802.78,Luxury
Istanbul,Monsoon,17,Economy,2362.9,Premium,863.76,682.16,Taxi,1089.09,4,3810.23,45359.95,Mid-range
Goa,Off-Season,11,Business,9906.4,Budget,2792.83,1925.93,Public,1421.46,4,4501.91,117646.42,Luxury
Istanbul,Holiday,20,Premium Economy,5367.3,Standard,5264.75,548.01,Rideshare,223.99,3,23529.35,166261.57,Luxury
Istanbul,Holiday,11,Economy,8509.9,Luxury,5670.61,868.54,Taxi,1414.55,7,14652.59,219259.57,Luxury
,,8,,1162.3,,,1387.06,Private Car,178.04,11,,48335.85,Mid-range
,,1,,6932.2,,,1834.16,Rideshare,1147.15,4,,58311.8,Mid-range
,,16,,11482.4,,,810.56,Taxi,143.22,11,,290543.05,Luxury
London,Winter,1,First,549.8,Premium,7342.96,1322.84,Public,287.93,3,2227.25,97818.47,Luxury
Istanbul,Holiday,1,Premium Economy,3341.2,Standard,6561.21,927.97,Taxi,81.34,4,18108.71,31023.53,Mid-range
Goa,Winter,16,Premium Economy,7221.5,Premium,2598.3,1012.91,Private Car,1054.01,0,5511.08,176240.33,Luxury
London,Peak,9,Economy,6363.8,Premium,826.32,881.0,Taxi,921.74,8,2443.48,154412.99,Luxury
London,Winter,19,First,5446.3,Budget,7775.37,1623.22,Private Car,407.13,10,3089.75,800000.0,Luxury
Goa,Off-Season,13,First,1198.5,Standard,1666.29,1748.55,Public,1157.32,1,7704.32,167610.24,Luxury
London,Peak,10,Economy,1567.4,Standard,7433.36,823.07,Public,805.4,5,7742.24,234356.55,Luxury
Goa,Peak,11,Business,9412.6,Standard,7935.46,1387.24,Taxi,1134.83,9,13026.19,352994.98,Luxury
Istanbul,Monsoon,7,Premium Economy,2772.4,Budget,4563.69,1796.14,Private Car,648.34,6,15870.4,41789.46,Mid-range
Bangkok,Off-Season,3,Economy,11901.8,Budget,5968.64,1359.26,Public,1039.02,9,3574.41,47540.3,Mid-range
,,4,,8205.5,,,505.82,Rideshare,1381.33,3,,160624.21,Luxury
Istanbul,Peak,18,First,6393.5,Luxury,1425.94,963.91,Rideshare,500.4,5,772.87,276947.18,Luxury
Dubai,Off-Season,10,First,9783.2,Standard,808.84,992.78,Private Car,669.83,6,365.86,153298.31,Luxury
London,Winter,7,Premium Economy,9360.7,Budget,2486.42,1034.33,Taxi,571.44,1,564.42,112003.29,Luxury
Bangkok,Peak,8,Economy,2455.1,Premium,6457.18,508.32,Public,1273.02,7,1038.95,119359.14,Luxury
Kuala Lumpur,Off-Season,13,Premium Economy,7219.5,Luxury,7573.92,1155.78,Rideshare,1431.97,3,11243.25,252662.59,Luxury
London,Winter,10,Business,5371.1,Budget,2846.41,1094.61,Private Car,442.65,3,23404.77,252592.34,Luxury
Istanbul,Holiday,19,Premium Economy,4475.2,Premium,7364.67,861.34,Taxi,900.77,6,14333.04,298247.38,Luxury
Bangkok,Monsoon,1,First,1698.2,Budget,7241.54,1262.47,Private Car,607.81,9,8847.71,62107.11,Mid-range
Bangkok,Off-Season,4,Business,10322.3,Budget,3656.46,531.82,Private Car,880.74,4,65.51,57036.5,Mid-range
Istanbul,Off-Season,12,First,4777.1,Standard,6659.71,365.04,Rideshare,1146.91,9,23184.85,220084.07,Luxury
Istanbul,Holiday,6,Business,3568.4,Standard,4290.55,542.3,Rideshare,889.35,5,18094.75,117680.56,Luxury
Dubai,Off-Season,18,First,2076.3,Standard,5509.13,594.4,Public,1317.41,7,2785.68,479397.77,Luxury
Goa,Peak,14,Business,10309.0,Luxury,4496.35,329.06,Private Car,490.2,9,4076.04,513700.79,Luxury
Istanbul,Peak,3,Business,10066.8,Standard,5871.25,815.65,Taxi,997.07,4,18116.9,101900.35,Luxury
Goa,Off-Season,18,Business,567.3,Budget,7122.93,1753.61,Public,863.87,10,8376.59,287840.26,Luxury
London,Peak,10,First,2213.4,Luxury,2841.44,387.97,Public,831.21,4,4949.26,563652.62,Luxury
London,Peak,11,Premium Economy,2897.8,Standard,6415.04,1728.08,Rideshare,791.05,1,17575.38,342708.66,Luxury
Kuala Lumpur,Monsoon,18,First,4531.9,Luxury,3128.09,1426.28,Taxi,1053.99,11,18732.51,408572.54,Luxury
Istanbul,Monsoon,16,Premium Economy,327.5,Budget,2421.48,590.71,Public,50.83,7,13974.14,37480.86,Mid-range
Istanbul,Peak,2,Business,3365.3,Luxury,7702.37,1373.53,Rideshare,120.76,3,21330.83,160092.15,Luxury
Kuala Lumpur,Peak,5,Economy,1658.6,Premium,4891.57,1721.57,Rideshare,209.55,1,2306.12,61607.52,Mid-range
Istanbul,Holiday,2,Business,8585.3,Premium,7589.52,372.7,Public,925.76,3,6544.45,107082.59,Luxury
Bangkok,Off-Season,12,Economy,7493.0,Luxury,7640.66,969.81,Taxi,980.95,6,3997.18,207649.63,Luxury
London,Holiday,10,First,11955.0,Premium,7859.5,861.02,Taxi,59.94,9,12585.22,800000.0,Luxury
London,Monsoon,17,First,6448.0,Luxury,7817.75,893.74,Public,177.94,3,22268.37,800000.0,Luxury
Dubai,Monsoon,4,Business,5727.3,Budget,5410.59,1628.78,Public,507.23,10,22219.46,102670.43,Luxury
London,Off-Season,11,First,9419.4,Standard,7476.18,1485.86,Public,491.49,11,11009.21,573904.68,Luxury
Goa,Monsoon,2,Economy,9450.1,Premium,3785.02,1359.09,Public,1123.41,5,3203.6,53919.26,Mid-range
Istanbul,Off-Season,14,First,4325.5,Luxury,7577.5,1547.05,Taxi,354.27,2,22974.79,464829.96,Luxury
London,Off-Season,10,First,480.2,Standard,2926.4,1349.51,Public,175.54,9,18208.11,283834.41,Luxury
Dubai,Holiday,17,Business,1959.4,Budget,5193.2,1997.53,Public,857.77,0,13122.57,401989.46,Luxury
Goa,Holiday,2,First,5456.3,Luxury,3998.72,1065.68,Rideshare,871.82,11,488.02,205011.9,Luxury
London,Off-Season,20,Business,11009.5,Budget,1457.83,354.26,Taxi,569.23,4,24160.79,222222.77,Luxury
Kuala Lumpur,Peak,19,Premium Economy,2488.7,Budget,5122.6,1406.64,Taxi,1419.56,10,6953.23,198565.12,Luxury
Bangkok,Off-Season,16,Premium Economy,6573.8,Standard,7029.28,1244.75,Rideshare,824.82,0,6470.38,178017.79,Luxury
Dubai,Winter,16,Premium Economy,126.9,Premium,1890.68,1848.64,Private Car,103.77,8,11348.75,201112.6,Luxury
London,Off-Season,11,Business,11116.8,Luxury,823.22,1472.33,Private Car,533.95,7,14537.28,309299.82,Luxury
Istanbul,Winter,9,Business,981.1,Budget,2418.04,1093.16,Rideshare,1383.72,7,177.74,60409.03,Mid-range
Istanbul,Holiday,16,Business,7076.7,Budget,5621.64,228.48,Private Car,759.48,8,10665.77,175522.06,Luxury
Dubai,Peak,12,Economy,8982.0,Premium,3960.13,1820.43,Taxi,584.14,7,15910.36,263341.69,Luxury
Istanbul,Monsoon,9,First,6391.0,Standard,4097.57,1416.15,Private Car,966.43,2,6616.45,121145.17,Luxury
Goa,Winter,5,Economy,155.7,Standard,2254.2,408.24,Rideshare,1112.17,11,15418.56,47452.97,Mid-range
London,Winter,18,Business,2303.9,Luxury,7935.25,1566.77,Private Car,1452.76,6,16220.22,800000.0,Luxury
Dubai,Holiday,9,Business,4123.4,Budget,1880.78,1026.09,Private Car,1446.15,1,22970.97,165784.54,Luxury
London,Peak,11,Business,5313.9,Budget,1140.91,936.11,Private Car,143.08,6,18945.34,247831.01,Luxury
Dubai,Holiday,8,Premium Economy,5891.9,Budget,5285.3,1315.99,Private Car,1043.2,8,19660.15,194788.44,Luxury
Dubai,Winter,3,Business,93.6,Luxury,6743.5,1591.46,Public,1230.12,7,21574.55,341301.39,Luxury
Dubai,Monsoon,2,Economy,10740.5,Luxury,5519.6,676.66,Private Car,1201.77,10,21901.92,162095.17,Luxury
Bangkok,Monsoon,1,First,5734.6,Standard,2897.97,1626.82,Private Car,1319.65,9,3650.56,60435.41,Mid-range
Dubai,Holiday,18,Premium Economy,10605.0,Standard,2400.02,1516.05,Taxi,1153.98,4,12229.33,304068.73,Luxury
Istanbul,Off-Season,5,First,273.6,Budget,3276.79,1789.94,Taxi,1263.76,11,11980.49,76387.8,Mid-range
London,Monsoon,16,Premium Economy,3907.5,Budget,4465.95,652.74,Rideshare,1198.68,5,11661.82,189825.32,Luxury
Kuala Lumpur,Peak,17,Business,728.7,Premium,7419.37,564.13,Rideshare,111.69,7,22692.93,417957.68,Luxury
Bangkok,Winter,2,Business,1460.4,Luxury,3564.36,1413.45,Rideshare,753.44,8,12514.41,148188.87,Luxury
Goa,Peak,10,Business,2402.6,Premium,7831.08,1463.17,Public,784.63,11,6553.54,401677.13,Luxury
Goa,Holiday,13,Business,4451.6,Luxury,5603.05,951.28,Private Car,1306.85,6,9290.72,562235.25,Luxury
Dubai,Off-Season,16,Economy,5286.1,Premium,7067.74,994.07,Private Car,1152.29,3,6437.53,290771.64,Luxury
London,Monsoon,3,First,7185.0,Standard,3710.71,853.82,Rideshare,414.54,5,3280.4,84729.01,Mid-range
Bangkok,Holiday,11,Business,8576.5,Premium,6610.07,1419.84,Rideshare,1138.16,11,15964.11,384336.42,Luxury
London,Winter,3,Premium Economy,4583.3,Budget,6445.97,950.64,Rideshare,1229.06,5,1448.13,85594.54,Mid-range
Istanbul,Winter,12,Economy,337.0,Luxury,30290.52,203.6,Taxi,233.03,1,156284.1,160477.54,Luxury
London,Monsoon,13,Business,5465.6,Budget,1138.32,580.37,Public,783.83,2,16936.4,120248.16,Luxury
London,Monsoon,20,First,6717.6,Premium,5880.44,426.91,Private Car,478.42,6,21054.64,800000.0,Luxury
Istanbul,Peak,12,Premium Economy,8743.3,Premium,2798.65,1925.68,Rideshare,1172.54,10,14012.05,169879.37,Luxury
Bangkok,Monsoon,20,Premium Economy,3600.5,Luxury,2311.03,428.75,Rideshare,179.88,3,1198.8,129138.57,Luxury
Kuala Lumpur,Peak,16,Economy,6293.9,Premium,850.87,1302.49,Taxi,179.05,1,17989.32,112982.6,Luxury
Istanbul,Holiday,3,Premium Economy,1783.5,Luxury,3253.7,494.94,Taxi,1048.61,11,5752.08,57396.96,Mid-range
Istanbul,Winter,19,Premium Economy,9230.7,Budget,5931.02,1683.65,Public,1069.29,7,2617.95,155556.74,Luxury
London,Peak,18,Business,4925.1,Budget,5993.71,739.99,Public,685.86,4,1854.75,521917.92,Luxury
Dubai,Peak,15,Economy,9342.8,Budget,2296.11,1547.41,Rideshare,645.84,3,6547.1,134393.98,Luxury
London,Off-Season,14,Economy,1382.1,Premium,1195.44,749.76,Rideshare,1105.56,6,17872.63,157884.0,Luxury
Kuala Lumpur,Monsoon,12,First,2576.3,Standard,3413.09,1036.89,Public,435.48,10,13797.42,172281.87,Luxury
Goa,Off-Season,14,Economy,10094.3,Luxury,2062.16,212.11,Public,885.48,5,14834.74,155611.21,Luxury
Goa,Holiday,19,Economy,4579.4,Budget,2998.92,229.31,Taxi,688.93,10,1770.69,95096.61,Luxury
London,Holiday,3,Economy,7383.2,Premium,7443.15,1796.76,Taxi,1080.35,5,18647.49,242974.04,Luxury
Goa,Winter,3,Premium Economy,6055.4,Premium,6135.38,529.22,Taxi,598.94,7,3709.34,98722.57,Luxury
Kuala Lumpur,Off-Season,2,Premium Economy,2679.4,Standard,4985.76,837.96,Private Car,607.06,2,2387.59,23300.28,Budget
Kuala Lumpur,Monsoon,9,Business,6746.3,Premium,4035.84,1198.74,Rideshare,888.89,8,515.66,123195.53,Luxury
Dubai,Winter,20,Business,6190.9,Standard,976.4,1021.46,Public,439.6,10,9003.65,198743.01,Luxury
Kuala Lumpur,Off-Season,8,First,1672.4,Budget,1808.98,1665.71,Taxi,384.89,6,23512.54,106155.89,Luxury
Goa,Peak,13,First,9382.2,Premium,2273.09,1862.22,Public,1086.86,5,18282.32,582608.79,Luxury
Bangkok,Monsoon,18,First,3131.2,Luxury,5272.26,623.59,Private Car,801.46,3,24746.93,553755.2,Luxury
Goa,Holiday,20,Premium Economy,11585.2,Standard,5347.51,332.61,Rideshare,904.58,10,13343.3,316233.91,Luxury
Istanbul,Peak,16,First,6916.9,Luxury,1737.12,910.27,Private Car,361.09,5,3655.45,306801.74,Luxury
Istanbul,Monsoon,20,Business,7421.3,Budget,3336.42,773.44,Rideshare,143.0,8,7638.99,96386.07,Luxury
Kuala Lumpur,Monsoon,1,Premium Economy,10871.8,Budget,7760.03,1967.09,Public,1359.16,1,17319.03,25223.58,Budget
Bangkok,Peak,4,Business,11378.1,Premium,3812.21,265.05,Private Car,425.01,0,17690.0,195669.26,Luxury
Kuala Lumpur,Peak,5,Business,954.5,Premium,5456.64,1116.27,Rideshare,794.72,5,2866.11,114608.46,Luxury
Dubai,Peak,5,First,1151.4,Luxury,7985.87,730.12,Private Car,1102.22,8,18056.7,751619.87,Luxury
Istanbul,Holiday,8,First,925.1,Premium,2020.07,329.3,Public,1285.96,0,7725.01,116849.27,Luxury
Dubai,Peak,16,Premium Economy,2045.3,Luxury,5309.14,281.38,Taxi,693.8,3,10118.38,489083.49,Luxury
Bangkok,Monsoon,7,Business,5891.3,Budget,834.17,834.12,Private Car,1259.85,7,8977.41,45330.8,Mid-range
Bangkok,Peak,14,First,4052.1,Premium,5563.37,1962.24,Private Car,305.66,6,21401.41,643641.85,Luxury
Dubai,Monsoon,16,Business,5994.7,Premium,6430.6,1480.64,Private Car,1341.18,0,17585.83,481205.8,Luxury
Bangkok,Off-Season,12,Premium Economy,513.0,Standard,7082.0,621.73,Rideshare,735.08,9,10880.25,128151.72,Luxury
Dubai,Winter,5,Business,2078.4,Budget,3202.75,1501.42,Taxi,906.97,11,15698.4,122881.09,Luxury
Dubai,Holiday,17,Economy,11218.4,Budget,2198.36,772.81,Private Car,829.45,2,899.49,131729.39,Luxury
Bangkok,Winter,3,Economy,8501.1,Budget,4174.24,1568.62,Taxi,183.52,2,13040.71,52326.87,Mid-range
Dubai,Monsoon,18,First,11450.1,Budget,1376.69,1574.02,Rideshare,1086.72,4,17009.82,276567.01,Luxury
Dubai,Winter,13,Premium Economy,11367.5,Budget,2372.9,406.75,Public,1388.31,0,12201.63,118436.04,Luxury
Kuala Lumpur,Peak,18,First,2764.1,Budget,2542.98,1721.9,Taxi,64.24,1,17783.93,224632.52,Luxury
Kuala Lumpur,Monsoon,8,Business,8272.8,Premium,4227.83,241.5,Private Car,262.87,7,19048.43,126893.45,Luxury
Goa,Peak,4,Business,1858.8,Premium,2674.94,539.07,Public,1407.69,1,8740.04,89914.17,Mid-range
London,Monsoon,17,Premium Economy,2000.3,Budget,2004.22,216.57,Rideshare,913.71,9,11332.06,101439.41,Luxury
Istanbul,Peak,13,Economy,3740.6,Luxury,949.77,1807.62,Private Car,149.75,6,17653.52,111217.49,Luxury
Goa,Off-Season,9,Business,10237.4,Luxury,888.94,935.48,Taxi,113.01,0,3560.91,152506.12,Luxury
Goa,Monsoon,4,Economy,11545.2,Standard,7639.87,1413.64,Taxi,461.75,1,6792.3,50580.69,Mid-range
Kuala Lumpur,Monsoon,2,Premium Economy,9852.7,Budget,4206.95,1390.46,Public,872.73,2,7243.2,30961.25,Mid-range
Dubai,Monsoon,17,Premium Economy,7848.3,Luxury,2992.32,719.46,Rideshare,812.73,2,10068.63,279864.03,Luxury
Dubai,Off-Season,19,Business,7832.4,Premium,4406.12,543.55,Rideshare,459.13,0,13987.18,367812.48,Luxury
Istanbul,Winter,3,Economy,1106.8,Premium,7028.5,792.83,Taxi,269.8,11,7054.32,60636.94,Mid-range
